Student,LPIPS,SSIM
113378043.png,0.0,1.0
112590009.png,0.26404789090156555,0.6242560783727626
112590022.png,0.3593387305736542,0.6271073255029626
112590030.png,0.3603654205799103,0.6049262802954529
112590057.png,0.369720458984375,0.5593828544213655
112590007.png,0.37147700786590576,0.6692363060011107
112590059.png,0.38283810019493103,0.6785088697728984
110590456.png,0.3845990300178528,0.6571082233198365
112590060.png,0.3950875699520111,0.658788645418858
112590036.png,0.40224117040634155,0.6697450031907591
112590026.png,0.40576237440109253,0.6035110755041856
112590041.png,0.4137289226055145,0.642974300154059
109810011.png,0.41602957248687744,0.6161453584957438
111332012.png,0.4178538918495178,0.6467822720814902
112590023.png,0.4236666262149811,0.6615193343814161
110590041.png,0.42951348423957825,0.5848979101017313
112590038.png,0.43115413188934326,0.6450870436586185
112590003.png,0.45210811495780945,0.6730375664136264
112590035.png,0.45520442724227905,0.5854054828322564
110820009.png,0.4559807777404785,0.6142432313880417
112590031.png,0.4648887813091278,0.5108652693601766
112590021.png,0.46997562050819397,0.5505381217910437
112590056.png,0.471622109413147,0.6835580020502686
112590052.png,0.48693159222602844,0.504570165261738
112590033.png,0.49064189195632935,0.6385863160647556
112590029.png,0.49366557598114014,0.6710159260855225
112590012.png,0.49622830748558044,0.6604027825206569
112590053.png,0.510676383972168,0.5123905519390987
112590005.png,0.5109504461288452,0.595420704698051
112590024.png,0.5206120014190674,0.5240052936219596
112590018.png,0.6092522144317627,0.4311518084266465
